computer_name,os_version,windows_build_number,logged_user,bios_vendor,bios_version,mac_address,city,state,country,latitude,longitude
spare-xps13-328,Windows 10,10.0.19042,jcarter,Dell Inc.,2.11.0,50:9A:4C:C7:CB:5D,Marlborough,Massachusetts,United States,42.3203299,-71.5858568
spare-xps-342,Windows 10,10.0.18362,jcarter,Dell Inc.,1.17.1,10:65:30:D2:88:13,Marlborough,Massachusetts,United States,42.3203523,-71.5858606
PRD00976,Windows 10,10.0.19042,ogiharas,American Megatrends Internationa,UX435EG.305,00:E0:4C:68:4D:2C,El Monte,California,United States,34.1091086,-118.08406590000001
chan-xps-354,Windows 10,10.0.19042,mchan,Dell Inc.,1.10.0,50:EB:71:24:52:ED,None,Massachusetts,United States,42.2159039,-71.537112
jenglish-xps334,Windows 10,10.0.19042,jenglish,Dell Inc.,1.19.2,9C:B6:D0:FA:34:5B,None,New York,United States,44.2710596,-73.9776428
swindell-xps-124,Windows 10,10.0.19043,swindells,Dell Inc.,1.22.1,98:48:27:78:CE:82,Marlborough,Massachusetts,United States,42.320330299999995,-71.5859457
liu-xps15-147,Windows 10,10.0.19043,monkey,Dell Inc.,1.6.0,8C:04:BA:84:98:94,None,Massachusetts,United States,42.515943199999995,-71.43127179999999
collins-xps-145,Windows 10,10.0.19042,CollinsH,Dell Inc.,1.11.1,00:E0:4C:68:12:C6,None,Massachusetts,United States,42.3717446,-71.21731710000002
swindell-opti-122,Windows 10,10.0.19042,null,Dell Inc.,A16,34:17:EB:C8:BD:0C,None,None,None,None,None
leto-xps8930-137,Windows 10,10.0.19042,RLeto,Dell Inc.,1.1.4,48:5F:99:BA:5F:59,None,Massachusetts,United States,42.371745399999995,-71.21733139999999
salah-m3800-104,Windows 10,10.0.18363,salaha,Dell Inc.,A12,8C:AE:4C:EC:52:7F,None,Massachusetts,United States,42.3717173,-71.21734719999999
cbrule-win10-111,Windows 10,10.0.19042,cbrule,American Megatrends Inc.,1602,08:62:66:48:48:C2,None,None,None,None,None
chang-xps15-143,Windows 10,10.0.19041,ChangLi,Dell Inc.,1.17.1,9C:B6:D0:C0:39:23,None,Massachusetts,United States,42.5038727,-71.4184418
PBL-COMSOL-103,Windows 7,6.1.7601,64bit,Acer,P21-A2,74:27:EA:B8:49:FA,None,None,None,None,None
leto-xps15-144,Windows 10,10.0.19042,RLeto,Dell Inc.,1.18.1,9C:B6:D0:C0:27:C9,None,Massachusetts,United States,42.4170231,-71.1658958
AMIR-xps15-324,Windows 10,10.0.19042,null,Dell Inc.,1.21.0,9C:B6:D0:F1:F7:F3,None,Maryland,United States,39.1160299,-77.17212889999999
pbl-fs01,Windows 10,10.0.17763,null,"VMware, Inc.",VMW71.00V.16707776.B64.200807023,00:50:56:81:51:9F,None,None,None,None,None
pbl-itwin10,Windows 10,10.0.19042,null,Phoenix Technologies LTD,6.00,00:50:56:8B:27:29,None,None,None,None,None
wmcdonald-xps-348,Windows 10,10.0.19041,wmcdonald,Dell Inc.,1.16.2,9C:B6:D0:C2:B3:61,None,Massachusetts,United States,42.6725778,-71.64828589999999
li-xps-118,Windows 10,10.0.18363,LiF,Dell Inc.,1.5.1,00:E0:4C:17:48:95,None,Massachusetts,United States,42.3717798,-71.2173124
DEXTRAS-XPS-361,Windows 10,10.0.19042,pdextras,Dell Inc.,1.6.1,B0:7B:25:89:E9:91,None,Massachusetts,United States,42.2898332,-71.58874879999999
pbl-mon2,Windows 8.1,6.3.9600,null,"VMware, Inc.",VMW71.00V.16707776.B64.200807023,00:50:56:8B:27:EC,None,None,None,None,None
pbl-sldw,Windows 10,10.0.19042,null,Phoenix Technologies LTD,6.00,00:50:56:8B:60:4F,None,None,None,None,None
pbl-engsim,Windows 10,10.0.18363,null,American Megatrends Inc.,3.1,00:25:90:BD:AC:0C,None,None,None,None,None
spare-xps-114,Windows 10,10.0.19042,salaha,Dell Inc.,1.14.0,00:10:74:18:1C:FF,None,Massachusetts,United States,42.3717362,-71.217326
ellab-lenovo-108,Windows 10,10.0.19042,null,LENOVO,9SKT54AUS,40:2C:F4:EA:C3:95,None,None,None,None,None
eivanov-xps-353,Windows 10,10.0.19042,eivanov,Dell Inc.,1.16.2,9C:B6:D0:C7:18:1B,None,Massachusetts,United States,42.4595801,-71.218059
hughes-xps-339,Windows 10,10.0.16299,ahughes,Dell Inc.,1.9.4,9C:B6:D0:FA:4D:CD,None,Massachusetts,United States,42.27126090000001,-71.5468121
dserrano-xps330,Windows 10,10.0.16299,dserrano,Dell Inc.,1.16.0,9C:B6:D0:F9:AE:0F,None,Tennessee,United States,36.0058454,-86.83206390000001
dyounkin-xps-345,Windows 10,10.0.17763,dyounkin,Dell Inc.,1.7.0,00:FF:80:9C:B3:A3,None,Massachusetts,United States,42.6416798,-71.94012239999999
jeong-xps15-325,Windows 10,10.0.19043,yjeong,Dell Inc.,1.19.2,9C:B6:D0:F2:03:F7,West Windsor,Vermont,United States,43.4657319,-72.47083549999999
hennessy-xps-357,Windows 10,10.0.19042,rhennessy,Dell Inc.,1.7.0,74:78:27:A8:CF:CB,None,Massachusetts,United States,42.299569999999996,-71.6505191
ngoyal-xps-347,Windows 10,10.0.17763,ngoyal,Dell Inc.,1.16.2,9C:B6:D0:C2:B5:8D,San Diego,California,United States,32.9926482,-117.087904
lipka-xps-367,Windows 10,10.0.19042,rlipka,Dell Inc.,1.6.1,DC:41:A9:9F:C3:79,None,Massachusetts,United States,42.3464549,-71.647713
rmhatre-xps-350,Windows 10,10.0.17763,rmhatre,Dell Inc.,1.16.2,9C:B6:D0:C4:10:FB,None,Massachusetts,United States,42.472575,-71.4892897
nunan-xps-366,Windows 10,10.0.19042,knunan,Dell Inc.,1.6.1,74:78:27:B2:91:82,None,Massachusetts,United States,42.5378514,-71.3155586
jstoyle-1PM3BH2,Windows 10,10.0.15063,jstoyle,Dell Inc.,1.22.1,9C:B6:D0:E8:8C:AB,Marlborough,Massachusetts,United States,42.3203361,-71.5858409
PRD00694,Windows 10,10.0.19043,gudovskiyd,Dell Inc.,2.11.0,9C:B6:D0:D4:67:F5,None,California,United States,37.7716488,-121.97795680000002
spal-xps-344,Windows 10,10.0.17134,spal,Dell Inc.,1.17.1,9C:B6:D0:B7:0D:01,Marlborough,Massachusetts,United States,42.345791,-71.5118143
comsol-493026,Windows 10,10.0.17134,null,American Megatrends Inc.,2.0b,0C:C4:7A:FC:01:44,None,None,None,None,None
LAB1-B85-133,Windows 10,10.0.19042,64bit,American Megatrends Inc.,3602,1C:B7:2C:AD:8F:33,None,None,None,None,None
COLLINS-INS-112,Windows 10,10.0.14393,collinsh,Dell Inc.,1.22.0,08:D4:0C:BE:EF:97,None,Massachusetts,United States,42.5497101,-71.3016026
PRD00566,Windows 8.1,6.3.9600,martinr,American Megatrends Inc.,X550LA.403,54:27:1E:44:EE:3A,None,Colorado,United States,37.3230844,-107.58467279999999
spare-x99-101,Windows 10,10.0.19042,jaycarter,American Megatrends Inc.,F23c,FC:AA:14:2A:F1:38,None,None,None,None,None
hoseini-xps-335,Windows 10,10.0.18362,hoseinis,Dell Inc.,1.21.0,10:65:30:09:3E:15,None,Massachusetts,United States,42.2062447,-71.68790899999999
PRD00986,Windows 10,10.0.19042,nakayak,Dell Inc.,1.4.0,9C:B6:D0:8F:9E:1B,Mountain View,California,United States,37.3882201,-122.0546844
QDESK10,Windows 10,10.0.17134,null,American Megatrends Inc.,2104,00:26:83:38:12:7F,None,None,None,None,None
ansys-smc-351,Windows 10,10.0.17763,null,American Megatrends Inc.,1.2,AC:1F:6B:72:C3:0E,None,None,None,None,None
QSYS0123,Windows 10,10.0.19043,null,Dell Inc.,A07,98:90:96:DC:AD:0B,None,None,None,None,None
QDESK03,Windows 10,10.0.19043,null,Dell Inc.,A12,18:03:73:20:1E:67,None,None,None,None,None
comsol-3025,Windows 10,10.0.17134,null,American Megatrends Inc.,2.0b,0C:C4:7A:FB:89:A6,None,None,None,None,None
QDESK11,Windows 10,10.0.19043,null,American Megatrends Inc.,0802,00:26:83:2E:EA:C7,None,None,None,None,None
parker6-358,Windows 10,10.0.19041,null,Dell Inc.,1.3.1,A4:BB:6D:BD:37:3B,None,None,None,None,None
parker7-359,Windows 10,10.0.19041,null,Dell Inc.,1.3.1,00:E0:4C:B0:39:BE,None,None,None,None,None
qlab09-win10,Windows 10,10.0.19042,qlab,Dell Inc.,A22,34:17:EB:BF:6D:54,None,None,None,None,None
QLAPTOP56,Windows 7,6.1.7601,null,Dell Inc.,A08,00:50:B6:46:B4:42,None,None,None,None,None
setupc-132,Windows 10,10.0.19041,qlab,Dell Inc.,A06,9C:D2:1E:5B:04:37,Marlborough,Massachusetts,United States,42.3203732,-71.5856996
setupa-135,Windows 10,10.0.19041,null,Dell Inc.,A06,00:0E:C6:63:F2:1A,Marlborough,Massachusetts,United States,42.3203664,-71.5857765
parker4-191,Windows 10,10.0.19041,null,Dell Inc.,A05,F8:B1:56:CA:7B:EB,None,None,None,None,None
setupb-137,Windows 10,10.0.19041,null,Dell Inc.,A06,00:0E:C6:63:F2:D8,Marlborough,Massachusetts,United States,42.32035,-71.58586249999999
eg1-139,Windows 10,10.0.19041,null,Dell Inc.,A08,98:90:96:B8:FE:6C,None,None,None,None,None
eg2-138,Windows 10,10.0.19041,null,Dell Inc.,A08,98:90:96:B9:00:90,None,None,None,None,None
NI-PXIE-WIN10,Windows 10,10.0.19042,qlab,National Instruments,1.0.0f5,00:80:2F:14:28:8A,None,None,None,None,None
eg3-360,Windows 10,10.0.19041,null,Dell Inc.,1.1.10,A4:BB:6D:CF:D8:D0,None,None,None,None,None
dsulivan-xps-352,Windows 10,10.0.19042,dsullivan,Dell Inc.,1.19.0,8C:04:BA:4D:0F:77,None,Massachusetts,United States,42.416759,-71.6828467
umeda-xps13-356,Windows 10,10.0.18363,tumeda,Dell Inc.,1.5.1,00:50:B6:AF:B4:38,None,Massachusetts,United States,42.4153491,-71.2350503
computer_name,os_version,windows_build_number,logged_user,bios_vendor,bios_version,mac_address,city,state,country,latitude,longitude
yamamoto-363,Windows 10,10.0.19042,kyamamoto,Dell Inc.,1.7.0,00:E0:4C:A3:AD:A1,New York,New York,United States,40.714796299999996,-74.0162792
